value,metric,gen,run,enemy_group
22.567255858420705,max,0,0,0
-2.8209407378664064,mean,0,0,0
23.461480109829616,max,1,0,0
0.20755312043873966,mean,1,0,0
24.86859395397753,max,2,0,0
2.2642159547195497,mean,2,0,0
36.76737266703032,max,3,0,0
7.293841673352964,mean,3,0,0
36.76737266703032,max,4,0,0
7.4085238539870035,mean,4,0,0
36.76737266703032,max,5,0,0
4.452140243116295,mean,5,0,0
36.76737266703032,max,6,0,0
8.24531083690255,mean,6,0,0
36.76737266703032,max,7,0,0
9.313613732280567,mean,7,0,0
36.76737266703032,max,8,0,0
8.716974488072147,mean,8,0,0
36.76737266703032,max,9,0,0
10.216759385776239,mean,9,0,0
36.76737266703032,max,10,0,0
11.194351902769407,mean,10,0,0
36.76737266703032,max,11,0,0
11.703434090924011,mean,11,0,0
36.76737266703032,max,12,0,0
12.612183532093326,mean,12,0,0
47.6074861537339,max,13,0,0
13.208263051844863,mean,13,0,0
47.6074861537339,max,14,0,0
12.725265481388885,mean,14,0,0
47.6074861537339,max,15,0,0
10.52631933022975,mean,15,0,0
47.6074861537339,max,16,0,0
11.196227656521055,mean,16,0,0
47.6074861537339,max,17,0,0
9.67577047747435,mean,17,0,0
47.6074861537339,max,18,0,0
12.199478536951048,mean,18,0,0
47.6074861537339,max,19,0,0
10.662506666560333,mean,19,0,0
20.234684517657143,max,0,1,0
-2.709510793725426,mean,0,1,0
28.691019079846672,max,1,1,0
4.99307991799415,mean,1,1,0
28.691019079846672,max,2,1,0
7.924856791310997,mean,2,1,0
28.691019079846672,max,3,1,0
9.353075770506306,mean,3,1,0
28.691019079846672,max,4,1,0
11.28504159909758,mean,4,1,0
28.691019079846672,max,5,1,0
10.952176740808595,mean,5,1,0
28.691019079846672,max,6,1,0
10.020073298095669,mean,6,1,0
28.853283564823474,max,7,1,0
12.246700236791934,mean,7,1,0
28.853283564823474,max,8,1,0
10.213034735991661,mean,8,1,0
28.853283564823474,max,9,1,0
10.887834461273595,mean,9,1,0
28.853283564823474,max,10,1,0
10.179798591552926,mean,10,1,0
28.853283564823474,max,11,1,0
10.37408767863856,mean,11,1,0
28.853283564823474,max,12,1,0
12.761650657317775,mean,12,1,0
28.853283564823474,max,13,1,0
10.79593302155015,mean,13,1,0
28.853283564823474,max,14,1,0
10.47729885678974,mean,14,1,0
28.853283564823474,max,15,1,0
11.931035775930745,mean,15,1,0
33.287012604218056,max,16,1,0
11.897577005973067,mean,16,1,0
33.287012604218056,max,17,1,0
8.681877498446253,mean,17,1,0
33.287012604218056,max,18,1,0
9.637870555261765,mean,18,1,0
33.287012604218056,max,19,1,0
11.80328424795064,mean,19,1,0
18.903753238398888,max,0,2,0
-2.1468575416830475,mean,0,2,0
20.196173998181276,max,1,2,0
1.5108115304645793,mean,1,2,0
24.197755079775703,max,2,2,0
5.835605477846914,mean,2,2,0
26.060627352520566,max,3,2,0
7.557542253156294,mean,3,2,0
26.060627352520566,max,4,2,0
4.844916776093126,mean,4,2,0
26.30099712430306,max,5,2,0
9.365850637966652,mean,5,2,0
27.22818367588521,max,6,2,0
7.801915074486763,mean,6,2,0
34.17395407000059,max,7,2,0
7.475771654062401,mean,7,2,0
34.17395407000059,max,8,2,0
8.10139532680965,mean,8,2,0
34.17395407000059,max,9,2,0
9.016393360192122,mean,9,2,0
34.17395407000059,max,10,2,0
9.815254899338433,mean,10,2,0
34.17395407000059,max,11,2,0
10.626542187004667,mean,11,2,0
34.17395407000059,max,12,2,0
11.842385502833157,mean,12,2,0
34.17395407000059,max,13,2,0
10.742846354292618,mean,13,2,0
34.17395407000059,max,14,2,0
6.832490244372316,mean,14,2,0
34.17395407000059,max,15,2,0
9.621918448634045,mean,15,2,0
34.17395407000059,max,16,2,0
9.528771433372784,mean,16,2,0
37.59854181220233,max,17,2,0
11.358758919347338,mean,17,2,0
37.59854181220233,max,18,2,0
8.497050982843103,mean,18,2,0
37.59854181220233,max,19,2,0
8.903178628800468,mean,19,2,0
25.229427759430145,max,0,3,0
-3.8768655694069,mean,0,3,0
25.229427759430145,max,1,3,0
-1.9769066402143867,mean,1,3,0
29.908118657016644,max,2,3,0
1.2116665830333524,mean,2,3,0
29.908118657016644,max,3,3,0
6.17775744537652,mean,3,3,0
29.908118657016644,max,4,3,0
7.500051408482409,mean,4,3,0
29.908118657016644,max,5,3,0
8.157817288524807,mean,5,3,0
29.922063545787612,max,6,3,0
8.449776006276233,mean,6,3,0
32.63424064232123,max,7,3,0
7.297596162696393,mean,7,3,0
34.44154309160478,max,8,3,0
12.968339027894807,mean,8,3,0
34.44154309160478,max,9,3,0
9.77296701926236,mean,9,3,0
34.44154309160478,max,10,3,0
10.3218821152016,mean,10,3,0
34.44154309160478,max,11,3,0
10.787391113888411,mean,11,3,0
35.88548111200078,max,12,3,0
11.115762313257159,mean,12,3,0
35.88548111200078,max,13,3,0
9.367454073383001,mean,13,3,0
35.88548111200078,max,14,3,0
10.923752039236415,mean,14,3,0
37.78189495259263,max,15,3,0
11.212860354022261,mean,15,3,0
40.628132525913344,max,16,3,0
13.512740982076314,mean,16,3,0
40.628132525913344,max,17,3,0
11.67620946482888,mean,17,3,0
41.922752610546844,max,18,3,0
12.064309985871084,mean,18,3,0
41.922752610546844,max,19,3,0
12.644981115730467,mean,19,3,0
20.17950476265224,max,0,4,0
-1.8264310064038236,mean,0,4,0
39.21916126195549,max,1,4,0
5.3929526101766205,mean,1,4,0
39.21916126195549,max,2,4,0
6.261393984730492,mean,2,4,0
39.21916126195549,max,3,4,0
5.850887820897934,mean,3,4,0
39.21916126195549,max,4,4,0
8.403077164459617,mean,4,4,0
39.21916126195549,max,5,4,0
9.88650574596567,mean,5,4,0
39.21916126195549,max,6,4,0
10.106094157501923,mean,6,4,0
39.21916126195549,max,7,4,0
9.414021191792067,mean,7,4,0
39.21916126195549,max,8,4,0
10.215978414171772,mean,8,4,0
39.21916126195549,max,9,4,0
9.819541718144222,mean,9,4,0
39.21916126195549,max,10,4,0
11.674108656441184,mean,10,4,0
39.21916126195549,max,11,4,0
11.82549110225755,mean,11,4,0
39.21916126195549,max,12,4,0
10.709279139033509,mean,12,4,0
39.21916126195549,max,13,4,0
10.969499030891745,mean,13,4,0
39.21916126195549,max,14,4,0
10.125329978738892,mean,14,4,0
39.21916126195549,max,15,4,0
11.290839314031398,mean,15,4,0
39.21916126195549,max,16,4,0
14.690245009496545,mean,16,4,0
39.21916126195549,max,17,4,0
9.731693589931853,mean,17,4,0
39.21916126195549,max,18,4,0
8.247953551291578,mean,18,4,0
39.21916126195549,max,19,4,0
13.484584624862268,mean,19,4,0
21.173925809709196,max,0,5,0
-3.8074574351972945,mean,0,5,0
21.173925809709196,max,1,5,0
0.5360683355889889,mean,1,5,0
21.28966777436306,max,2,5,0
2.0687622049343712,mean,2,5,0
25.253074884711367,max,3,5,0
6.816907919636309,mean,3,5,0
25.253074884711367,max,4,5,0
5.9442737510005825,mean,4,5,0
25.26804343472602,max,5,5,0
7.69741429902064,mean,5,5,0
25.26804343472602,max,6,5,0
8.353895426728405,mean,6,5,0
25.26804343472602,max,7,5,0
7.534308421424609,mean,7,5,0
25.26804343472602,max,8,5,0
7.33066902637545,mean,8,5,0
25.26804343472602,max,9,5,0
8.716051873454013,mean,9,5,0
25.26804343472602,max,10,5,0
8.845173526961943,mean,10,5,0
25.26804343472602,max,11,5,0
8.958409919437646,mean,11,5,0
29.72294423445401,max,12,5,0
10.930109269725394,mean,12,5,0
29.72294423445401,max,13,5,0
10.284816204109148,mean,13,5,0
29.72294423445401,max,14,5,0
11.742448996526194,mean,14,5,0
35.4016361973447,max,15,5,0
8.39970257113409,mean,15,5,0
35.4016361973447,max,16,5,0
9.352411948430253,mean,16,5,0
35.4016361973447,max,17,5,0
10.553740542152088,mean,17,5,0
35.4016361973447,max,18,5,0
7.069424067560846,mean,18,5,0
35.4016361973447,max,19,5,0
8.340586438574903,mean,19,5,0
24.30731679604894,max,0,6,0
-3.5684118764343093,mean,0,6,0
24.30731679604894,max,1,6,0
1.3149268443221218,mean,1,6,0
28.44551423676989,max,2,6,0
5.565364554598279,mean,2,6,0
29.672420502994797,max,3,6,0
9.506850230862733,mean,3,6,0
29.672420502994797,max,4,6,0
5.659656334928344,mean,4,6,0
29.672420502994797,max,5,6,0
4.086221657063044,mean,5,6,0
29.672420502994797,max,6,6,0
4.970182994366967,mean,6,6,0
29.957166566595987,max,7,6,0
4.006514204193738,mean,7,6,0
29.957166566595987,max,8,6,0
5.806636517322866,mean,8,6,0
29.957166566595987,max,9,6,0
7.405209355644103,mean,9,6,0
29.957166566595987,max,10,6,0
6.452248443648321,mean,10,6,0
31.30608270075795,max,11,6,0
9.263691710381517,mean,11,6,0
31.30608270075795,max,12,6,0
8.860214564507878,mean,12,6,0
31.30608270075795,max,13,6,0
8.65808772595945,mean,13,6,0
31.737143962333384,max,14,6,0
10.286046547326908,mean,14,6,0
31.737143962333384,max,15,6,0
12.714443813822383,mean,15,6,0
31.737143962333384,max,16,6,0
9.3820842540644,mean,16,6,0
31.737143962333384,max,17,6,0
9.750195484194416,mean,17,6,0
33.5146799445603,max,18,6,0
11.41609812380853,mean,18,6,0
33.5146799445603,max,19,6,0
11.580207721557507,mean,19,6,0
20.195279888035603,max,0,7,0
-4.222720155700289,mean,0,7,0
28.285311738212645,max,1,7,0
-1.0116566763004757,mean,1,7,0
28.285311738212645,max,2,7,0
2.29900295851485,mean,2,7,0
30.20116696550672,max,3,7,0
6.144880147028751,mean,3,7,0
35.269267514929524,max,4,7,0
7.367239996880548,mean,4,7,0
35.269267514929524,max,5,7,0
7.296598705372287,mean,5,7,0
35.269267514929524,max,6,7,0
7.865061900916282,mean,6,7,0
35.269267514929524,max,7,7,0
11.177162883849002,mean,7,7,0
40.55819021225993,max,8,7,0
10.946837994571334,mean,8,7,0
40.55819021225993,max,9,7,0
11.573221370318576,mean,9,7,0
40.55819021225993,max,10,7,0
13.617226685170104,mean,10,7,0
40.55819021225993,max,11,7,0
15.278778875400404,mean,11,7,0
40.55819021225993,max,12,7,0
9.110715114590024,mean,12,7,0
40.55819021225993,max,13,7,0
11.53608514315419,mean,13,7,0
41.115445778764965,max,14,7,0
14.363932968041256,mean,14,7,0
41.115445778764965,max,15,7,0
11.94018248891372,mean,15,7,0
41.115445778764965,max,16,7,0
14.074094747683548,mean,16,7,0
41.115445778764965,max,17,7,0
11.63038026025732,mean,17,7,0
41.115445778764965,max,18,7,0
12.709167566771638,mean,18,7,0
41.115445778764965,max,19,7,0
13.540153472167873,mean,19,7,0
20.2523512223211,max,0,8,0
-2.5742790428663556,mean,0,8,0
21.627869532713213,max,1,8,0
1.2601611326173732,mean,1,8,0
28.540125376212604,max,2,8,0
5.814208191831731,mean,2,8,0
28.540125376212604,max,3,8,0
8.044117999802689,mean,3,8,0
30.441839239621675,max,4,8,0
6.8657667247807534,mean,4,8,0
30.441839239621675,max,5,8,0
10.79651469996607,mean,5,8,0
38.1131057874759,max,6,8,0
10.436266069802391,mean,6,8,0
38.1131057874759,max,7,8,0
15.626304042437246,mean,7,8,0
38.1131057874759,max,8,8,0
12.576203697436732,mean,8,8,0
38.1131057874759,max,9,8,0
10.263012879779566,mean,9,8,0
38.1131057874759,max,10,8,0
11.284457910362478,mean,10,8,0
41.99218641762171,max,11,8,0
12.327816503869865,mean,11,8,0
41.99218641762171,max,12,8,0
10.842367925654806,mean,12,8,0
41.99218641762171,max,13,8,0
18.455815609388477,mean,13,8,0
41.99218641762171,max,14,8,0
14.879626040921014,mean,14,8,0
41.99218641762171,max,15,8,0
13.541126598493785,mean,15,8,0
41.99218641762171,max,16,8,0
12.694836960860037,mean,16,8,0
41.99218641762171,max,17,8,0
7.663706661400067,mean,17,8,0
41.99218641762171,max,18,8,0
15.684377952139522,mean,18,8,0
41.99218641762171,max,19,8,0
15.513469409716864,mean,19,8,0
13.280853010565384,max,0,9,0
-4.654377884895969,mean,0,9,0
20.196173998181276,max,1,9,0
-1.4742133429884074,mean,1,9,0
22.901835868802387,max,2,9,0
2.272360525437869,mean,2,9,0
24.908157288712648,max,3,9,0
3.7676528140000336,mean,3,9,0
26.58696703008994,max,4,9,0
4.076727694660313,mean,4,9,0
28.411941783244693,max,5,9,0
4.310051520319575,mean,5,9,0
31.40124205007173,max,6,9,0
6.273525080760405,mean,6,9,0
31.40124205007173,max,7,9,0
8.011624476416735,mean,7,9,0
31.40124205007173,max,8,9,0
6.708003840211893,mean,8,9,0
31.40124205007173,max,9,9,0
8.266269307145015,mean,9,9,0
31.40124205007173,max,10,9,0
7.869457255685727,mean,10,9,0
31.40124205007173,max,11,9,0
12.474253977169763,mean,11,9,0
31.40124205007173,max,12,9,0
9.642147531357377,mean,12,9,0
31.40124205007173,max,13,9,0
10.200605004049283,mean,13,9,0
31.40124205007173,max,14,9,0
14.902667310442075,mean,14,9,0
31.40124205007173,max,15,9,0
8.40698679075623,mean,15,9,0
31.40124205007173,max,16,9,0
11.043293800021356,mean,16,9,0
31.40124205007173,max,17,9,0
12.061970122925832,mean,17,9,0
31.40124205007173,max,18,9,0
14.14455204525685,mean,18,9,0
31.40124205007173,max,19,9,0
8.795816527832223,mean,19,9,0
19.355081335312057,max,0,0,1
-4.816869688912084,mean,0,0,1
19.355081335312057,max,1,0,1
-2.0282842529881413,mean,1,0,1
19.355081335312057,max,2,0,1
-2.134552098129182,mean,2,0,1
19.355081335312057,max,3,0,1
-0.9359132983803556,mean,3,0,1
19.355081335312057,max,4,0,1
-0.09028196025250029,mean,4,0,1
19.839458638695763,max,5,0,1
1.8273240633354835,mean,5,0,1
32.65864188627968,max,6,0,1
4.350215095488192,mean,6,0,1
32.65864188627968,max,7,0,1
3.4312403773909175,mean,7,0,1
32.65864188627968,max,8,0,1
3.664049454962608,mean,8,0,1
32.65864188627968,max,9,0,1
5.82932108492806,mean,9,0,1
32.65864188627968,max,10,0,1
8.197652301499225,mean,10,0,1
55.42998934590609,max,11,0,1
7.923252021986789,mean,11,0,1
55.42998934590609,max,12,0,1
8.424424994054265,mean,12,0,1
55.42998934590609,max,13,0,1
5.939782779429323,mean,13,0,1
55.42998934590609,max,14,0,1
5.793901021594968,mean,14,0,1
55.42998934590609,max,15,0,1
8.211441909257005,mean,15,0,1
55.42998934590609,max,16,0,1
8.642729833895102,mean,16,0,1
55.42998934590609,max,17,0,1
8.023028099084883,mean,17,0,1
55.42998934590609,max,18,0,1
7.537360476076219,mean,18,0,1
55.42998934590609,max,19,0,1
5.297249704309133,mean,19,0,1
12.857572250607868,max,0,1,1
-5.5576398886494935,mean,0,1,1
43.217916984107504,max,1,1,1
-2.908744218269076,mean,1,1,1
43.217916984107504,max,2,1,1
-1.0876312931385175,mean,2,1,1
43.217916984107504,max,3,1,1
0.4039884902867081,mean,3,1,1
43.217916984107504,max,4,1,1
1.1188877609730574,mean,4,1,1
43.217916984107504,max,5,1,1
1.1976183922359862,mean,5,1,1
43.217916984107504,max,6,1,1
2.6515824710764884,mean,6,1,1
43.217916984107504,max,7,1,1
1.5722741762099128,mean,7,1,1
43.217916984107504,max,8,1,1
5.178592329183394,mean,8,1,1
51.87763837983516,max,9,1,1
7.8234929034106795,mean,9,1,1
51.87763837983516,max,10,1,1
6.799244609132347,mean,10,1,1
51.87763837983516,max,11,1,1
7.831005259541963,mean,11,1,1
51.87763837983516,max,12,1,1
8.00085388146341,mean,12,1,1
51.87763837983516,max,13,1,1
11.458623033838988,mean,13,1,1
51.87763837983516,max,14,1,1
8.649076956010452,mean,14,1,1
51.87763837983516,max,15,1,1
6.856566063761785,mean,15,1,1
51.87763837983516,max,16,1,1
13.394152984376673,mean,16,1,1
51.87763837983516,max,17,1,1
7.798746551223848,mean,17,1,1
51.87763837983516,max,18,1,1
10.068492605377537,mean,18,1,1
51.87763837983516,max,19,1,1
12.680949637548085,mean,19,1,1
15.031023653619677,max,0,2,1
-4.903527243805961,mean,0,2,1
31.385941690075512,max,1,2,1
-0.20063972701098862,mean,1,2,1
33.16395338822052,max,2,2,1
3.3755875422172785,mean,2,2,1
33.16395338822052,max,3,2,1
7.847966346860042,mean,3,2,1
33.16395338822052,max,4,2,1
6.915259237129192,mean,4,2,1
34.354091570986846,max,5,2,1
11.25002203134493,mean,5,2,1
39.39914948470149,max,6,2,1
9.385825714773315,mean,6,2,1
58.51772348216246,max,7,2,1
10.019073825941465,mean,7,2,1
58.51772348216246,max,8,2,1
9.982578035548281,mean,8,2,1
58.531940471488866,max,9,2,1
11.69070017233754,mean,9,2,1
58.531940471488866,max,10,2,1
13.206100454584266,mean,10,2,1
58.531940471488866,max,11,2,1
16.037277846907227,mean,11,2,1
58.531940471488866,max,12,2,1
12.602478361323849,mean,12,2,1
58.531940471488866,max,13,2,1
9.375469491624159,mean,13,2,1
58.531940471488866,max,14,2,1
15.158133206669667,mean,14,2,1
58.531940471488866,max,15,2,1
12.501576494899222,mean,15,2,1
58.531940471488866,max,16,2,1
19.28864749323474,mean,16,2,1
58.531940471488866,max,17,2,1
14.629160208011022,mean,17,2,1
58.55189615768872,max,18,2,1
16.44521787205084,mean,18,2,1
58.55189615768872,max,19,2,1
18.15219777900633,mean,19,2,1
3.5082649845988882,max,0,3,1
-5.438733663469526,mean,0,3,1
32.94910256807746,max,1,3,1
-2.827154844407355,mean,1,3,1
32.94910256807746,max,2,3,1
-0.5692462168462228,mean,2,3,1
32.94910256807746,max,3,3,1
2.313825192360912,mean,3,3,1
32.94910256807746,max,4,3,1
2.373865740391968,mean,4,3,1
32.94910256807746,max,5,3,1
